strict_route_id,rank,outer_seed,outer_fold,baseline_mean_ba,baseline_dep_mean_ba,baseline_hc_mean_ba,selected_mean_ba,selected_dep_mean_ba,selected_hc_mean_ba,selected_gap,selected_min_group_ba,delta_mean_ba,dep_weight_label,hc_weight_label,dep_weights,hc_weights,router_name,router_transform,inner_selected_objective
strict_top7_moe_05,5,*,0,0.7759625599999999,0.75179584,0.7840181333333333,0.7834257600000001,0.76190464,0.7905994666666666,0.028694826666666562,0.48664,0.007463200000000225,dirichlet_000,dirichlet_007,"[0.49913520632620634, 0.16839813243853344, 0.18930956665680124, 0.14315709457845888]","[0.004842412205754548, 0.30016370886989613, 0.26580765236167386, 0.1387913916643083, 0.2903948348983671]",p1_oof_rank_soft_t0p1,raw,0.7836149088541666
strict_top7_moe_05,5,*,1,0.7686950400000001,0.63656256,0.8127392,0.7758527999999999,0.6413376000000001,0.8206912,0.1793535999999999,0.508,0.007157759999999791,dirichlet_001,uniform,"[0.4043984351381821, 0.081446597155781, 0.28230210651355514, 0.23185286119248175]","[0.2, 0.2, 0.2, 0.2, 0.2]",p1_oof_rank_soft_t0p1,raw,0.7938248697916668
strict_top7_moe_05,5,*,2,0.74026,0.684016,0.7590080000000001,0.7472248,0.688704,0.7667317333333336,0.07802773333333357,0.5,0.006964799999999993,dirichlet_000,uniform,"[0.49913520632620634, 0.16839813243853344, 0.18930956665680124, 0.14315709457845888]","[0.2, 0.2, 0.2, 0.2, 0.2]",p1_oof_rank_soft_t0p1,raw,0.7949495442708334
strict_top7_moe_05,5,*,3,0.7977103999999999,0.7186624000000001,0.8240597333333333,0.8040984,0.7129216,0.8344906666666667,0.12156906666666667,0.545312,0.00638800000000006,dirichlet_000,uniform,"[0.49913520632620634, 0.16839813243853344, 0.18930956665680124, 0.14315709457845888]","[0.2, 0.2, 0.2, 0.2, 0.2]",p1_oof_rank_soft_t0p1,raw,0.7825048828125
strict_top7_moe_05,5,*,4,0.7883015999999999,0.675312,0.8259648,0.7937632000000001,0.6854592,0.8298645333333333,0.14440533333333327,0.531232,0.005461600000000177,dirichlet_001,uniform,"[0.4043984351381821, 0.081446597155781, 0.28230210651355514, 0.23185286119248175]","[0.2, 0.2, 0.2, 0.2, 0.2]",p1_oof_rank_soft_t0p1,raw,0.7859488932291667
strict_top7_moe_06,6,*,0,0.7906584,0.7570496,0.8018613333333333,0.7925872,0.7697504000000001,0.8001994666666666,0.03044906666666658,0.515904,0.0019288000000000638,base,dirichlet_003,"[0.13213213213213215, 0.29629629629629634, 0.34734734734734735, 0.22422422422422425]","[0.20191975031087847, 0.12681183020041734, 0.407356203984907, 0.2639122155037972]",p1_oof_rank_soft_t0p1,sigmoid_t1p0,0.7804443359375001
strict_top7_moe_06,6,*,1,0.76970176,0.6487974399999998,0.8100032,0.7715784,0.640928,0.8151285333333332,0.17420053333333319,0.51,0.001876639999999985,uniform,base,"[0.25, 0.25, 0.25, 0.25]","[0.339, 0.059, 0.355, 0.247]",p1_oof_rank_soft_t0p1,raw,0.7934912109375
strict_top7_moe_06,6,*,2,0.7503591999999999,0.6824512,0.7729951999999999,0.7471968,0.686144,0.7675477333333334,0.0814037333333334,0.487392,-0.0031623999999998986,dirichlet_001,dirichlet_004,"[0.3575635176970312, 0.1561879812725441, 0.37352173771333913, 0.11272676331708548]","[0.40623074148422667, 0.14521377180482825, 0.20211559397939347, 0.24643989273155165]",p1_oof_rank_soft_t0p1,raw,0.794189453125
strict_top7_moe_06,6,*,3,0.801304,0.7168384000000001,0.8294592,0.7966904,0.7036416,0.8277066666666665,0.1240650666666665,0.498624,-0.0046135999999999955,base,dirichlet_004,"[0.13213213213213215, 0.29629629629629634, 0.34734734734734735, 0.22422422422422425]","[0.40623074148422667, 0.14521377180482825, 0.20211559397939347, 0.24643989273155165]",p1_oof_rank_soft_t0p1,raw,0.7837239583333333
strict_top7_moe_06,6,*,4,0.7892276800000001,0.67664512,0.8267551999999999,0.7951289599999999,0.6795014399999999,0.8336714666666667,0.1541700266666668,0.54528,0.005901279999999787,base,dirichlet_003,"[0.13213213213213215, 0.29629629629629634, 0.34734734734734735, 0.22422422422422425]","[0.20191975031087847, 0.12681183020041734, 0.407356203984907, 0.2639122155037972]",p1_oof_rank_soft_t0p1,sigmoid_t1p0,0.7867610677083334
strict_top7_moe_07,7,*,0,0.7906584,0.7570496,0.8018613333333333,0.7964304,0.7668128000000001,0.8063029333333334,0.03949013333333329,0.51872,0.005771999999999999,dirichlet_003,base,"[0.32605912273025933, 0.12830731442247834, 0.44110547951524637, 0.10452808333201606]","[0.339, 0.059, 0.355, 0.247]",p1_oof_rank_soft_t0p1,raw,0.7809814453125
strict_top7_moe_07,7,*,1,0.76970176,0.6487974399999998,0.8100032,0.7721513600000001,0.64469504,0.8146368,0.16994176000000005,0.51,0.0024496000000000517,dirichlet_001,dirichlet_002,"[0.1344518939805984, 0.3362106068192313, 0.388499851752599, 0.14083764744757138]","[0.2630988678083275, 0.10603580690063977, 0.41070942882749717, 0.22015589646353573]",p1_oof_rank_soft_t0p1,raw,0.7938916015625
strict_top7_moe_07,7,*,2,0.7503591999999999,0.6824512,0.7729951999999999,0.75092,0.693504,0.7700586666666667,0.07655466666666666,0.5,0.000560800000000139,dirichlet_003,base,"[0.32605912273025933, 0.12830731442247834, 0.44110547951524637, 0.10452808333201606]","[0.339, 0.059, 0.355, 0.247]",p1_oof_rank_soft_t0p1,raw,0.7937337239583334
strict_top7_moe_07,7,*,3,0.801304,0.7168384000000001,0.8294592,0.8006416,0.7084288,0.8313792,0.12295040000000002,0.469328,-0.0006624000000000629,dirichlet_003,base,"[0.32605912273025933, 0.12830731442247834, 0.44110547951524637, 0.10452808333201606]","[0.339, 0.059, 0.355, 0.247]",p1_oof_rank_soft_t0p1,raw,0.7839453125000001
strict_top7_moe_07,7,*,4,0.7892276800000001,0.67664512,0.8267551999999999,0.79341488,0.67900352,0.8315520000000001,0.1525484800000001,0.5507008,0.0041871999999999465,dirichlet_001,dirichlet_002,"[0.1344518939805984, 0.3362106068192313, 0.388499851752599, 0.14083764744757138]","[0.2630988678083275, 0.10603580690063977, 0.41070942882749717, 0.22015589646353573]",p1_oof_rank_soft_t0p1,raw,0.7877799479166667
